respID,qID,altID,obsID,profileID,price,distance,DistancetoMetro,Squarefootage,CommunityWasherDryer,FitnessRoom,Parking,Washer_dryer_in_room,sewageandtrash,WaterPower,Allincluded
1,1,1,1,10224,2500,More than 5 mils,10/2.5,500,0,1,1,1,1,1,1
1,1,2,1,6564,2500,Less than 1 Mile,Less than 5,500,1,0,0,0,1,0,1
1,1,3,1,533,2000,Less than 1 Mile,15/5,600,0,1,1,0,0,0,0
1,2,1,2,2517,2500,About 3 miles,Less than 5,500,1,1,1,1,1,0,0
1,2,2,2,8694,2500,More than 5 mils,15/5,500,1,1,0,1,0,1,1
1,2,3,2,8317,1500,Less than 1 Mile,Less than 5,More than 750,0,1,1,0,0,1,1
1,3,1,3,7183,1500,Less than 1 Mile,Less than 5,More than 750,0,0,0,1,1,0,1
1,3,2,3,8146,1500,Less than 1 Mile,15/5,600,0,0,1,0,0,1,1
1,3,3,3,2745,2500,More than 5 mils,10/2.5,More than 750,1,0,0,0,0,1,0
1,4,1,4,7092,2500,More than 5 mils,10/2.5,600,1,1,1,0,1,0,1
1,4,2,4,3682,1500,Less than 1 Mile,10/2.5,600,1,0,1,1,0,1,0
1,4,3,4,8662,1500,About 3 miles,15/5,More than 750,0,1,0,1,0,1,1
1,5,1,5,5287,1500,About 3 miles,15/5,500,1,0,0,0,0,0,1
1,5,2,5,3648,2500,Less than 1 Mile,Less than 5,500,1,0,1,1,0,1,0
1,5,3,5,5093,2000,More than 5 mils,10/2.5,More than 750,0,1,1,1,1,1,0
1,6,1,6,3066,2500,About 3 miles,10/2.5,More than 750,1,0,1,0,0,1,0
1,6,2,6,6707,2000,Less than 1 Mile,10/2.5,More than 750,0,1,0,0,1,0,1
1,6,3,6,2445,2500,About 3 miles,10/2.5,500,0,1,1,1,1,0,0
1,7,1,7,9897,2500,About 3 miles,10/2.5,500,0,1,0,1,1,1,1
1,7,2,7,9506,2000,Less than 1 Mile,Less than 5,600,1,0,1,0,1,1,1
1,7,3,7,4705,1500,More than 5 mils,Less than 5,500,0,1,0,1,1,1,0
1,8,1,8,2910,2500,Less than 1 Mile,15/5,More than 750,1,1,0,0,0,1,0
1,8,2,8,3558,2500,Less than 1 Mile,15/5,More than 750,1,1,0,1,0,1,0
1,8,3,8,3935,2000,Less than 1 Mile,15/5,600,0,0,0,0,1,1,0
2,1,1,9,416,2000,Less than 1 Mile,10/2.5,500,1,0,1,0,0,0,0
2,1,2,9,6639,2500,About 3 miles,15/5,More than 750,1,0,0,0,1,0,1
2,1,3,9,8983,1500,Less than 1 Mile,15/5,More than 750,0,1,1,1,0,1,1
2,2,1,10,1816,1500,More than 5 mils,Less than 5,600,0,1,1,0,1,0,0
2,2,2,10,8466,2500,About 3 miles,10/2.5,600,0,0,0,1,0,1,1
2,2,3,10,4704,2500,About 3 miles,Less than 5,500,0,1,0,1,1,1,0
2,3,1,11,3271,1500,About 3 miles,Less than 5,600,0,0,0,1,0,1,0
2,3,2,11,8131,1500,About 3 miles,Less than 5,600,0,0,1,0,0,1,1
2,3,3,11,5,2000,About 3 miles,Less than 5,500,0,0,0,0,0,0,0
2,4,1,12,10062,2500,More than 5 mils,10/2.5,500,0,0,1,1,1,1,1
2,4,2,12,4849,1500,More than 5 mils,10/2.5,More than 750,1,1,0,1,1,1,0
2,4,3,12,4955,2000,About 3 miles,10/2.5,500,1,0,1,1,1,1,0
2,5,1,13,4184,2000,More than 5 mils,15/5,600,1,1,0,0,1,1,0
2,5,2,13,6553,1500,Less than 1 Mile,15/5,More than 750,0,0,0,0,1,0,1
2,5,3,13,7146,2500,More than 5 mils,10/2.5,500,0,0,0,1,1,0,1
2,6,1,14,1767,2500,Less than 1 Mile,10/2.5,More than 750,1,0,1,0,1,0,0
2,6,2,14,2748,2500,Less than 1 Mile,15/5,More than 750,1,0,0,0,0,1,0
2,6,3,14,1557,2500,More than 5 mils,10/2.5,500,1,1,0,0,1,0,0
2,7,1,15,4405,1500,About 3 miles,Less than 5,600,0,1,1,0,1,1,0
2,7,2,15,4375,1500,Less than 1 Mile,Less than 5,500,0,1,1,0,1,1,0
2,7,3,15,6817,1500,About 3 miles,10/2.5,500,0,0,1,0,1,0,1
2,8,1,16,8564,2000,About 3 miles,Less than 5,More than 750,1,0,0,1,0,1,1
2,8,2,16,4601,2000,Less than 1 Mile,10/2.5,More than 750,0,0,0,1,1,1,0
2,8,3,16,9316,1500,Less than 1 Mile,Less than 5,500,1,1,0,0,1,1,1
3,1,1,17,8863,1500,More than 5 mils,Less than 5,600,1,0,1,1,0,1,1
3,1,2,17,2848,1500,About 3 miles,10/2.5,500,1,1,0,0,0,1,0
3,1,3,17,2779,1500,More than 5 mils,15/5,500,0,1,0,0,0,1,0
